id,dictionary,reading,meanings,partOfSpeech,verbType,adjectiveType,jlptLevel,frequency
1,"明白","めいはく","[""obvious; clear; plain; evident; apparent; explicit; overt; 何をしなければならないかは明白です。; It is clear what must be done.""]","noun","","na_adjective","N1",1
2,"あそこ","あそこ","[""there; over there; that place; yonder; you-know-where; place physically distant from both speaker and listener; see: ; どこ;  1. where; what place; see: ; ここ;  1. here; this place; see: ; そこ;  1. there (place relatively near listener); あそこから人影が見えた。; A form appeared from over there.""]","noun","","","N5",1
3,"あっさり","あっさり","[""easily; readily; quickly; flatly (refuse); 彼はあっさり罪を白状した。; He confessed his crime frankly.""]","noun","suru","","N1",1
4,"あの","あの","[""that; those; the; someone or something distant from both speaker and listener, or situation unfamiliar to both speaker and listener; see: ; どの;  which; what (way); see: ; この;  1. this; see: ; その;  1. that; the; あのおいしいワインをなぜ飲まないんだい。; Why not try that delicious wine?""]","noun","","","N4",1
5,"あべこべ","あべこべ","[""contrary; opposite; inverse; reverse; back-to-front; あなたはシャツをあべこべに着ている。; You are wearing your shirt inside out.""]","noun","","na_adjective","N1",1
6,"あやふや","あやふや","[""uncertain; indefinite; vague; ambiguous; equivocal; dubious; doubtful; non-committal; あやふやな手つきで一枚の紙を動かした。; She fumbled with a piece of paper.""]","noun","","na_adjective","N1",1
7,"あれ","あれ","[""that; that thing; indicating something distant from both speaker and listener (in space, time or psychologically), or something understood without naming it directly; see: ; これ;  1. this; this one; see: ; それ;  1. that; it; see: ; どれ;  1. which (of three or more); あれがこの町の大通りだ。; That is the main street of this city.""]","noun","","","N5",1
8,"あんな","あんな","[""that sort of; that kind of; like that; such; so; about something or someone distant from both speaker and listener, or about a situation unfamiliar to both speaker and listener; see: ; あんなに;  to that extent; to that degree; so much; so; see: ; こんな;  this sort of; this kind of; like this; such; see: ; そんな;  1. such; that sort of; that kind of; like that; see: ; どんな;  1. what kind of; what sort of; what; あんな男見ても胸くそが悪い。; I can't bear the sight of him.""]","noun","","","",1
9,"いけない","いけない","[""bad; wrong; naughty""]","adjective","","i_adjective","N2",1
10,"いざ","いざ","[""now; come (now); well; あなたから離れようと思っているのにいざそうしようとしてもうまくいかない。; I want to split up, but I know I couldn't even if I tried.""]","noun","","","N1",1
11,"いらっしゃい","いらっしゃい","[""come; go; stay; used as a polite imperative; see: ; いらっしゃる;  1. to come; to go; to be (somewhere); いるだけ持っていらっしゃい。; Please take with you as much as you need.""]","noun","","","N2",1
12,"いらっしゃる","いらっしゃる","[""to come; to go; to be (somewhere); お母さんはいらっしゃいますか。; Is your mother at home?""]","noun","godan","","",1
13,"うっかり","うっかり","[""carelessly; thoughtlessly; inadvertently; うっかりそれを忘れるところだったわ。; I almost forgot all about that.""]","noun","suru","","N3",1
14,"うろうろ","うろうろ","[""restlessly; aimlessly; without purpose""]","noun","","","N2",1
15,"うん","うん","[""yes; yeah; uh huh; 「コーヒーのお替わりいる？」「うん、ぼくのは少なめ、弟のには多めについでね」; \""Do you want another cup of coffee?\"" \""Sure, make mine on the small side but be generous with my brother's.\""; 「軽くならいいけど」「うむ、では金的と目潰しは有効にするか？」; \""If it's a light workout, OK.\"" \""Right, so will we allow crotch-kicking and eyeball crushing?\""""]","noun","","","",1
16,"うんざり","うんざり","[""tedious; boring; being fed up with; あの子にはうんざりする。; The kid is a pain in the neck.""]","noun","suru","","N1",1
17,"ええ","ええ","[""yes; that is correct; right; usu. ええ; ええ、ほとんど私と同じくらいの背丈になっていますよ。; Yes, he's almost as tall as I am.""]","noun","","","N5",1
18,"おっかない","おっかない","[""frightening; scary""]","adjective","","i_adjective","N1",1
19,"おどおど","おどおど","[""timidly; nervously; hesitantly; trembling (with fear); fearfully; anxiously; その来たばかりの子はおどおどして口ごもった。; The new boy had a nervous stammer.""]","noun","suru","","N1",1
20,"お菓子","おかし","[""confections; sweets; candy; cake; see: ; 菓子;  confectionery; sweets; candy; cake; お菓子で赤ちゃんが窒息するところだった。; The baby almost choked on a piece of candy.""]","noun","","","N5",1
21,"お願いします","おねがいします","[""please; フライトの再確認をお願いします。; Flight reconfirmation, please.""]","expression","","","N2",1
22,"お宮","おみや","[""Shinto shrine; 以前この辺りに小さなお宮があった。; There used to be a small shrine around here.""]","noun","","","N1",1
23,"お供","おとも","[""attendant; companion; see: ; 供;  companion; follower; attendant; retinue; 彼女は私のお供をするように言われた。; She was told to accompany me.; お伴したいものです。; I would like to go with you.""]","noun","suru","","N1",1
24,"お金","おかね","[""money; see: ; 金; （; かね; ）;  1. money; どうやってそのお金を手に入れたんですか。; How did you come by the money?""]","noun","","","N5",1
25,"お兄さん","おにいさん","[""older brother; elder brother; see: ; 兄さん;  1. older brother; elder brother; 彼のお兄さんは有名なサッカーの選手です。; His brother is a famous soccer player.""]","noun","","","N5",1
26,"お見舞い","おみまい","[""visit (to someone affected by illness or misfortune); call; inquiry (about someone's health); expression of sympathy; see: ; 見舞い;  1. visit (to someone affected by illness or misfortune); call; inquiry (about someone's health); expression of sympathy; 彼女のお見舞いに行こうよ。; Why don't we go and see her in the hospital?""]","noun","","","",1
27,"お参り","おまいり","[""visit (to a shrine, grave, etc.); worship; 元旦には近所の神社にお参りする人が多い。; On New Year's Day, many people visit neighborhood shrines.""]","noun","suru","","N2",1
28,"お産","おさん","[""(giving) birth; childbirth; delivery; see: ; 出産;  1. childbirth; (giving) birth; delivery; parturition; ケイちゃんはとても運がいいのよ。お産の時から、そうだったわ。; Kei's very lucky! He has been since his birth.""]","noun","","","N1",1
29,"お使い","おつかい","[""errand; mission; going on an errand; see: ; 使い;  1. errand; mission; going on an errand; あの子はよくお使いをする。; The boy often runs errands.""]","noun","","","N1",1
30,"お姉さん","おねえさん","[""older sister; elder sister; usu. お姉さん; see: ; 姉さん;  1. older sister; elder sister; あなたのお姉さんは審美感があるね。; Your sister has a sense of beauty.""]","noun","","","N5",1
31,"お子さん","おこさん","[""child; お子さんは何人おありですか。; How many children do you have?""]","noun","","","",1
32,"お辞儀","おじぎ","[""bow; bowing; see: ; 辞儀;  1. bow; bowing (and greeting); どの子も先生にお辞儀した。; Every child bowed to the teacher.""]","noun","suru","","N2",1
33,"お邪魔します","おじゃまします","[""please excuse the intrusion; I'm coming in; greeting used when entering someone's home""]","expression","","","N2",1
